territorio_codigo;territorio_nome;pib_mil_reais_2022;populacao_2022;_merge;pib_per_capita_2022
2300101;Abaiara - CE;126794;10038.0;both;12631.400677425781
2300150;Acarape - CE;183507;14027.0;both;13082.412490197476
2300200;Acaraú - CE;1184672;65264.0;both;18151.998038734982
2300309;Acopiara - CE;604192;44962.0;both;13437.83639517815
2300408;Aiuaba - CE;146744;14076.0;both;10425.12077294686
2300507;Alcântaras - CE;105770;11369.0;both;9303.368809921716
2300606;Altaneira - CE;82201;6782.0;both;12120.465939250958
2300705;Alto Santo - CE;240389;14155.0;both;16982.620981985165
2300754;Amontada - CE;684586;42156.0;both;16239.349084353355
2300804;Antonina do Norte - CE;89238;7245.0;both;12317.184265010352
2300903;Apuiarés - CE;134458;12928.0;both;10400.52599009901
2301000;Aquiraz - CE;4429050;80645.0;both;54920.32984065968
2301109;Aracati - CE;1791174;75113.0;both;23846.391436901733
2301208;Aracoiaba - CE;285457;25553.0;both;11171.17363910304
2301257;Ararendá - CE;117634;11096.0;both;10601.478010093728
2301307;Araripe - CE;219194;19783.0;both;11079.917100540868
2301406;Aratuba - CE;159277;11224.0;both;14190.75196008553
2301505;Arneiroz - CE;81651;7429.0;both;10990.846681922198
2301604;Assaré - CE;273041;21697.0;both;12584.274323639213
2301703;Aurora - CE;250837;23714.0;both;10577.591296280678
2301802;Baixio - CE;69658;5704.0;both;12212.131837307154
2301851;Banabuiú - CE;296956;17195.0;both;17269.904041872636
2301901;Barbalha - CE;1599703;75033.0;both;21319.99253661722
2301950;Barreira - CE;267357;22392.0;both;11939.844587352625
2302008;Barro - CE;262523;19381.0;both;13545.379495382076
2302057;Barroquinha - CE;150759;14567.0;both;10349.351273426237
2302107;Baturité - CE;503468;35218.0;both;14295.75785109887
2302206;Beberibe - CE;1208892;53114.0;both;22760.32684414655
2302305;Bela Cruz - CE;353476;32775.0;both;10784.927536231884
2302404;Boa Viagem - CE;584404;50411.0;both;11592.787288488624
2302503;Brejo Santo - CE;1009688;51090.0;both;19762.9281659816
2302602;Camocim - CE;855906;62326.0;both;13732.727914514007
2302701;Campos Sales - CE;314915;25135.0;both;12528.943703998408
2302800;Canindé - CE;1021411;74174.0;both;13770.472133092459
2302909;Capistrano - CE;190140;17254.0;both;11020.053320969051
2303006;Caridade - CE;187437;16377.0;both;11445.136471881297
2303105;Cariré - CE;208196;17632.0;both;11807.84936479129
2303204;Caririaçu - CE;271670;26320.0;both;10321.808510638299
2303303;Cariús - CE;193985;17015.0;both;11400.822803408757
2303402;Carnaubal - CE;185440;17210.0;both;10775.130737943056
2303501;Cascavel - CE;1182740;72720.0;both;16264.301430143014
2303600;Catarina - CE;132473;10243.0;both;12933.02743336913
2303659;Catunda - CE;117230;10444.0;both;11224.626579854463
2303709;Caucaia - CE;9891544;355679.0;both;27810.312107265258
2303808;Cedro - CE;260564;22344.0;both;11661.475116362335
2303907;Chaval - CE;125251;12462.0;both;10050.6339271385
2303931;Choró - CE;192951;12113.0;both;15929.249566581359
2303956;Chorozinho - CE;255377;20163.0;both;12665.625154986858
2304004;Coreaú - CE;236193;20953.0;both;11272.514675702763
2304103;Crateús - CE;1088879;76390.0;both;14254.208666055767
2304202;Crato - CE;2178406;131050.0;both;16622.708889736743
2304236;Croatá - CE;233557;17481.0;both;13360.620101824838
2304251;Cruz - CE;470272;29761.0;both;15801.619569234905
2304269;Deputado Irapuan Pinheiro - CE;111392;8932.0;both;12471.115091804748
2304277;Ereré - CE;93228;6474.0;both;14400.370713623726
2304285;Eusébio - CE;4557316;74170.0;both;61444.19576648241
2304301;Farias Brito - CE;225755;18217.0;both;12392.545424603393
2304350;Forquilha - CE;310510;24173.0;both;12845.323294584867
2304400;Fortaleza - CE;81362333;2428708.0;both;33500.253221054154
2304459;Fortim - CE;331346;17294.0;both;19159.592922400832
2304509;Frecheirinha - CE;356851;15657.0;both;22791.786421408953
2304608;General Sampaio - CE;89926;6734.0;both;13354.024354024354
2304657;Graça - CE;136808;13801.0;both;9912.904861966525
2304707;Granja - CE;514903;53344.0;both;9652.50074985003
2304806;Granjeiro - CE;55419;4841.0;both;11447.841355091923
2304905;Groaíras - CE;123687;10910.0;both;11337.030247479377
2304954;Guaiúba - CE;272368;24325.0;both;11197.040082219939
2305001;Guaraciaba do Norte - CE;728027;42053.0;both;17312.1299312772
2305100;Guaramiranga - CE;94083;5654.0;both;16640.077821011673
2305209;Hidrolândia - CE;204119;17855.0;both;11432.035844301316
2305233;Horizonte - CE;2501483;74755.0;both;33462.417229616745
2305266;Ibaretama - CE;144293;11956.0;both;12068.668450986952
2305308;Ibiapina - CE;380747;23965.0;both;15887.627790527853
2305332;Ibicuitinga - CE;125308;11611.0;both;10792.179829472052
2305357;Icapuí - CE;400632;21433.0;both;18692.296925302104
2305407;Icó - CE;796420;62642.0;both;12713.834168768557
2305506;Iguatu - CE;2054539;98064.0;both;20951.001386849406
2305605;Independência - CE;347468;24024.0;both;14463.369963369963
2305654;Ipaporanga - CE;116772;11575.0;both;10088.29373650108
2305704;Ipaumirim - CE;167158;12083.0;both;13834.147148886866
2305803;Ipu - CE;575072;41081.0;both;13998.490786494973
2305902;Ipueiras - CE;385582;36798.0;both;10478.341214196424
2306009;Iracema - CE;211262;14001.0;both;15089.065066780944
2306108;Irauçuba - CE;251621;23915.0;both;10521.47187957349
2306207;Itaiçaba - CE;89380;7536.0;both;11860.403397027601
2306256;Itaitinga - CE;1588814;64650.0;both;24575.622583139986
2306306;Itapajé - CE;702418;46426.0;both;15129.84103734976
2306405;Itapipoca - CE;2129866;131123.0;both;16243.267771481738
2306504;Itapiúna - CE;182347;17841.0;both;10220.67148702427
2306553;Itarema - CE;722769;42957.0;both;16825.40680215099
2306603;Itatira - CE;190135;20424.0;both;9309.390912651783
2306702;Jaguaretama - CE;257163;17232.0;both;14923.57242339833
2306801;Jaguaribara - CE;165067;10356.0;both;15939.262263422172
2306900;Jaguaribe - CE;637711;33726.0;both;18908.58684694301
2307007;Jaguaruana - CE;598757;31701.0;both;18887.637613955394
2307106;Jardim - CE;310208;27411.0;both;11316.916566341979
2307205;Jati - CE;140334;7861.0;both;17851.927235720646
2307254;Jijoca de Jericoacoara - CE;696532;25555.0;both;27256.192525924478
2307304;Juazeiro do Norte - CE;5783730;286120.0;both;20214.350622116595
