nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;valor
N1;Brasil;1;Brasil;2022;2022;93;População residente;Pessoas;203080756
N3;Unidade da Federação;23;Ceará;2022;2022;93;População residente;Pessoas;8794957
N6;Município;2300101;Abaiara - CE;2022;2022;93;População residente;Pessoas;10038
N6;Município;2300150;Acarape - CE;2022;2022;93;População residente;Pessoas;14027
N6;Município;2300200;Acaraú - CE;2022;2022;93;População residente;Pessoas;65264
N6;Município;2300309;Acopiara - CE;2022;2022;93;População residente;Pessoas;44962
N6;Município;2300408;Aiuaba - CE;2022;2022;93;População residente;Pessoas;14076
N6;Município;2300507;Alcântaras - CE;2022;2022;93;População residente;Pessoas;11369
N6;Município;2300606;Altaneira - CE;2022;2022;93;População residente;Pessoas;6782
N6;Município;2300705;Alto Santo - CE;2022;2022;93;População residente;Pessoas;14155
N6;Município;2300754;Amontada - CE;2022;2022;93;População residente;Pessoas;42156
N6;Município;2300804;Antonina do Norte - CE;2022;2022;93;População residente;Pessoas;7245
N6;Município;2300903;Apuiarés - CE;2022;2022;93;População residente;Pessoas;12928
N6;Município;2301000;Aquiraz - CE;2022;2022;93;População residente;Pessoas;80645
N6;Município;2301109;Aracati - CE;2022;2022;93;População residente;Pessoas;75113
N6;Município;2301208;Aracoiaba - CE;2022;2022;93;População residente;Pessoas;25553
N6;Município;2301257;Ararendá - CE;2022;2022;93;População residente;Pessoas;11096
N6;Município;2301307;Araripe - CE;2022;2022;93;População residente;Pessoas;19783
N6;Município;2301406;Aratuba - CE;2022;2022;93;População residente;Pessoas;11224
N6;Município;2301505;Arneiroz - CE;2022;2022;93;População residente;Pessoas;7429
N6;Município;2301604;Assaré - CE;2022;2022;93;População residente;Pessoas;21697
N6;Município;2301703;Aurora - CE;2022;2022;93;População residente;Pessoas;23714
N6;Município;2301802;Baixio - CE;2022;2022;93;População residente;Pessoas;5704
N6;Município;2301851;Banabuiú - CE;2022;2022;93;População residente;Pessoas;17195
N6;Município;2301901;Barbalha - CE;2022;2022;93;População residente;Pessoas;75033
N6;Município;2301950;Barreira - CE;2022;2022;93;População residente;Pessoas;22392
N6;Município;2302008;Barro - CE;2022;2022;93;População residente;Pessoas;19381
N6;Município;2302057;Barroquinha - CE;2022;2022;93;População residente;Pessoas;14567
N6;Município;2302107;Baturité - CE;2022;2022;93;População residente;Pessoas;35218
N6;Município;2302206;Beberibe - CE;2022;2022;93;População residente;Pessoas;53114
N6;Município;2302305;Bela Cruz - CE;2022;2022;93;População residente;Pessoas;32775
N6;Município;2302404;Boa Viagem - CE;2022;2022;93;População residente;Pessoas;50411
N6;Município;2302503;Brejo Santo - CE;2022;2022;93;População residente;Pessoas;51090
N6;Município;2302602;Camocim - CE;2022;2022;93;População residente;Pessoas;62326
N6;Município;2302701;Campos Sales - CE;2022;2022;93;População residente;Pessoas;25135
N6;Município;2302800;Canindé - CE;2022;2022;93;População residente;Pessoas;74174
N6;Município;2302909;Capistrano - CE;2022;2022;93;População residente;Pessoas;17254
N6;Município;2303006;Caridade - CE;2022;2022;93;População residente;Pessoas;16377
N6;Município;2303105;Cariré - CE;2022;2022;93;População residente;Pessoas;17632
N6;Município;2303204;Caririaçu - CE;2022;2022;93;População residente;Pessoas;26320
N6;Município;2303303;Cariús - CE;2022;2022;93;População residente;Pessoas;17015
N6;Município;2303402;Carnaubal - CE;2022;2022;93;População residente;Pessoas;17210
N6;Município;2303501;Cascavel - CE;2022;2022;93;População residente;Pessoas;72720
N6;Município;2303600;Catarina - CE;2022;2022;93;População residente;Pessoas;10243
N6;Município;2303659;Catunda - CE;2022;2022;93;População residente;Pessoas;10444
N6;Município;2303709;Caucaia - CE;2022;2022;93;População residente;Pessoas;355679
N6;Município;2303808;Cedro - CE;2022;2022;93;População residente;Pessoas;22344
N6;Município;2303907;Chaval - CE;2022;2022;93;População residente;Pessoas;12462
N6;Município;2303931;Choró - CE;2022;2022;93;População residente;Pessoas;12113
N6;Município;2303956;Chorozinho - CE;2022;2022;93;População residente;Pessoas;20163
N6;Município;2304004;Coreaú - CE;2022;2022;93;População residente;Pessoas;20953
N6;Município;2304103;Crateús - CE;2022;2022;93;População residente;Pessoas;76390
N6;Município;2304202;Crato - CE;2022;2022;93;População residente;Pessoas;131050
N6;Município;2304236;Croatá - CE;2022;2022;93;População residente;Pessoas;17481
N6;Município;2304251;Cruz - CE;2022;2022;93;População residente;Pessoas;29761
N6;Município;2304269;Deputado Irapuan Pinheiro - CE;2022;2022;93;População residente;Pessoas;8932
N6;Município;2304277;Ereré - CE;2022;2022;93;População residente;Pessoas;6474
N6;Município;2304285;Eusébio - CE;2022;2022;93;População residente;Pessoas;74170
N6;Município;2304301;Farias Brito - CE;2022;2022;93;População residente;Pessoas;18217
N6;Município;2304350;Forquilha - CE;2022;2022;93;População residente;Pessoas;24173
N6;Município;2304400;Fortaleza - CE;2022;2022;93;População residente;Pessoas;2428708
N6;Município;2304459;Fortim - CE;2022;2022;93;População residente;Pessoas;17294
N6;Município;2304509;Frecheirinha - CE;2022;2022;93;População residente;Pessoas;15657
N6;Município;2304608;General Sampaio - CE;2022;2022;93;População residente;Pessoas;6734
N6;Município;2304657;Graça - CE;2022;2022;93;População residente;Pessoas;13801
N6;Município;2304707;Granja - CE;2022;2022;93;População residente;Pessoas;53344
N6;Município;2304806;Granjeiro - CE;2022;2022;93;População residente;Pessoas;4841
N6;Município;2304905;Groaíras - CE;2022;2022;93;População residente;Pessoas;10910
N6;Município;2304954;Guaiúba - CE;2022;2022;93;População residente;Pessoas;24325
N6;Município;2305001;Guaraciaba do Norte - CE;2022;2022;93;População residente;Pessoas;42053
N6;Município;2305100;Guaramiranga - CE;2022;2022;93;População residente;Pessoas;5654
N6;Município;2305209;Hidrolândia - CE;2022;2022;93;População residente;Pessoas;17855
N6;Município;2305233;Horizonte - CE;2022;2022;93;População residente;Pessoas;74755
N6;Município;2305266;Ibaretama - CE;2022;2022;93;População residente;Pessoas;11956
N6;Município;2305308;Ibiapina - CE;2022;2022;93;População residente;Pessoas;23965
N6;Município;2305332;Ibicuitinga - CE;2022;2022;93;População residente;Pessoas;11611
N6;Município;2305357;Icapuí - CE;2022;2022;93;População residente;Pessoas;21433
N6;Município;2305407;Icó - CE;2022;2022;93;População residente;Pessoas;62642
N6;Município;2305506;Iguatu - CE;2022;2022;93;População residente;Pessoas;98064
N6;Município;2305605;Independência - CE;2022;2022;93;População residente;Pessoas;24024
N6;Município;2305654;Ipaporanga - CE;2022;2022;93;População residente;Pessoas;11575
N6;Município;2305704;Ipaumirim - CE;2022;2022;93;População residente;Pessoas;12083
N6;Município;2305803;Ipu - CE;2022;2022;93;População residente;Pessoas;41081
N6;Município;2305902;Ipueiras - CE;2022;2022;93;População residente;Pessoas;36798
N6;Município;2306009;Iracema - CE;2022;2022;93;População residente;Pessoas;14001
N6;Município;2306108;Irauçuba - CE;2022;2022;93;População residente;Pessoas;23915
N6;Município;2306207;Itaiçaba - CE;2022;2022;93;População residente;Pessoas;7536
N6;Município;2306256;Itaitinga - CE;2022;2022;93;População residente;Pessoas;64650
N6;Município;2306306;Itapajé - CE;2022;2022;93;População residente;Pessoas;46426
N6;Município;2306405;Itapipoca - CE;2022;2022;93;População residente;Pessoas;131123
N6;Município;2306504;Itapiúna - CE;2022;2022;93;População residente;Pessoas;17841
N6;Município;2306553;Itarema - CE;2022;2022;93;População residente;Pessoas;42957
N6;Município;2306603;Itatira - CE;2022;2022;93;População residente;Pessoas;20424
N6;Município;2306702;Jaguaretama - CE;2022;2022;93;População residente;Pessoas;17232
N6;Município;2306801;Jaguaribara - CE;2022;2022;93;População residente;Pessoas;10356
N6;Município;2306900;Jaguaribe - CE;2022;2022;93;População residente;Pessoas;33726
N6;Município;2307007;Jaguaruana - CE;2022;2022;93;População residente;Pessoas;31701
N6;Município;2307106;Jardim - CE;2022;2022;93;População residente;Pessoas;27411
N6;Município;2307205;Jati - CE;2022;2022;93;População residente;Pessoas;7861
N6;Município;2307254;Jijoca de Jericoacoara - CE;2022;2022;93;População residente;Pessoas;25555
N6;Município;2307304;Juazeiro do Norte - CE;2022;2022;93;População residente;Pessoas;286120
N6;Município;2307403;Jucás - CE;2022;2022;93;População residente;Pessoas;23922
N6;Município;2307502;Lavras da Mangabeira - CE;2022;2022;93;População residente;Pessoas;30802
N6;Município;2307601;Limoeiro do Norte - CE;2022;2022;93;População residente;Pessoas;59560
N6;Município;2307635;Madalena - CE;2022;2022;93;População residente;Pessoas;16896
N6;Município;2307650;Maracanaú - CE;2022;2022;93;População residente;Pessoas;234509
N6;Município;2307700;Maranguape - CE;2022;2022;93;População residente;Pessoas;105093
N6;Município;2307809;Marco - CE;2022;2022;93;População residente;Pessoas;25799
N6;Município;2307908;Martinópole - CE;2022;2022;93;População residente;Pessoas;10846
N6;Município;2308005;Massapê - CE;2022;2022;93;População residente;Pessoas;37697
N6;Município;2308104;Mauriti - CE;2022;2022;93;População residente;Pessoas;45561
N6;Município;2308203;Meruoca - CE;2022;2022;93;População residente;Pessoas;15157
N6;Município;2308302;Milagres - CE;2022;2022;93;População residente;Pessoas;25900
N6;Município;2308351;Milhã - CE;2022;2022;93;População residente;Pessoas;14123
N6;Município;2308377;Miraíma - CE;2022;2022;93;População residente;Pessoas;14196
N6;Município;2308401;Missão Velha - CE;2022;2022;93;População residente;Pessoas;36822
N6;Município;2308500;Mombaça - CE;2022;2022;93;População residente;Pessoas;37735
N6;Município;2308609;Monsenhor Tabosa - CE;2022;2022;93;População residente;Pessoas;17149
N6;Município;2308708;Morada Nova - CE;2022;2022;93;População residente;Pessoas;61443
N6;Município;2308807;Moraújo - CE;2022;2022;93;População residente;Pessoas;8254
N6;Município;2308906;Morrinhos - CE;2022;2022;93;População residente;Pessoas;22753
N6;Município;2309003;Mucambo - CE;2022;2022;93;População residente;Pessoas;13666
N6;Município;2309102;Mulungu - CE;2022;2022;93;População residente;Pessoas;10569
N6;Município;2309201;Nova Olinda - CE;2022;2022;93;População residente;Pessoas;15399
N6;Município;2309300;Nova Russas - CE;2022;2022;93;População residente;Pessoas;30699
N6;Município;2309409;Novo Oriente - CE;2022;2022;93;População residente;Pessoas;27545
N6;Município;2309458;Ocara - CE;2022;2022;93;População residente;Pessoas;24493
N6;Município;2309508;Orós - CE;2022;2022;93;População residente;Pessoas;19675
N6;Município;2309607;Pacajus - CE;2022;2022;93;População residente;Pessoas;70983
N6;Município;2309706;Pacatuba - CE;2022;2022;93;População residente;Pessoas;81524
N6;Município;2309805;Pacoti - CE;2022;2022;93;População residente;Pessoas;11186
N6;Município;2309904;Pacujá - CE;2022;2022;93;População residente;Pessoas;6175
N6;Município;2310001;Palhano - CE;2022;2022;93;População residente;Pessoas;9346
N6;Município;2310100;Palmácia - CE;2022;2022;93;População residente;Pessoas;10242
N6;Município;2310209;Paracuru - CE;2022;2022;93;População residente;Pessoas;38980
N6;Município;2310258;Paraipaba - CE;2022;2022;93;População residente;Pessoas;32216
N6;Município;2310308;Parambu - CE;2022;2022;93;População residente;Pessoas;31445
N6;Município;2310407;Paramoti - CE;2022;2022;93;População residente;Pessoas;10384
N6;Município;2310506;Pedra Branca - CE;2022;2022;93;População residente;Pessoas;40187
N6;Município;2310605;Penaforte - CE;2022;2022;93;População residente;Pessoas;8972
N6;Município;2310704;Pentecoste - CE;2022;2022;93;População residente;Pessoas;37813
N6;Município;2310803;Pereiro - CE;2022;2022;93;População residente;Pessoas;15274
N6;Município;2310852;Pindoretama - CE;2022;2022;93;População residente;Pessoas;23391
N6;Município;2310902;Piquet Carneiro - CE;2022;2022;93;População residente;Pessoas;16616
N6;Município;2310951;Pires Ferreira - CE;2022;2022;93;População residente;Pessoas;10606
N6;Município;2311009;Poranga - CE;2022;2022;93;População residente;Pessoas;12065
