nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;valor
N1;Brasil;1;Brasil;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;9012142000
N3;Unidade da Federação;23;Ceará;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;194884802
N6;Município;2300101;Abaiara - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;117971
N6;Município;2300150;Acarape - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;179994
N6;Município;2300200;Acaraú - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1020201
N6;Município;2300309;Acopiara - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;564520
N6;Município;2300408;Aiuaba - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;151596
N6;Município;2300507;Alcântaras - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;98202
N6;Município;2300606;Altaneira - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;74654
N6;Município;2300705;Alto Santo - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;232268
N6;Município;2300754;Amontada - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;665472
N6;Município;2300804;Antonina do Norte - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;78953
N6;Município;2300903;Apuiarés - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;120978
N6;Município;2301000;Aquiraz - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;3854401
N6;Município;2301109;Aracati - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1706227
N6;Município;2301208;Aracoiaba - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;266422
N6;Município;2301257;Ararendá - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;106784
N6;Município;2301307;Araripe - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;207982
N6;Município;2301406;Aratuba - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;151645
N6;Município;2301505;Arneiroz - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;70224
N6;Município;2301604;Assaré - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;237259
