nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;valor
N1;Brasil;1;Brasil;2022;2022;706;Número de unidades locais;Unidades;10607102
N3;Unidade da Federação;23;Ceará;2022;2022;706;Número de unidades locais;Unidades;273117
N6;Município;2300101;Abaiara - CE;2022;2022;706;Número de unidades locais;Unidades;125
N6;Município;2300150;Acarape - CE;2022;2022;706;Número de unidades locais;Unidades;239
N6;Município;2300200;Acaraú - CE;2022;2022;706;Número de unidades locais;Unidades;1164
N6;Município;2300309;Acopiara - CE;2022;2022;706;Número de unidades locais;Unidades;939
N6;Município;2300408;Aiuaba - CE;2022;2022;706;Número de unidades locais;Unidades;221
N6;Município;2300507;Alcântaras - CE;2022;2022;706;Número de unidades locais;Unidades;192
N6;Município;2300606;Altaneira - CE;2022;2022;706;Número de unidades locais;Unidades;125
N6;Município;2300705;Alto Santo - CE;2022;2022;706;Número de unidades locais;Unidades;368
N6;Município;2300754;Amontada - CE;2022;2022;706;Número de unidades locais;Unidades;753
N6;Município;2300804;Antonina do Norte - CE;2022;2022;706;Número de unidades locais;Unidades;160
N6;Município;2300903;Apuiarés - CE;2022;2022;706;Número de unidades locais;Unidades;244
N6;Município;2301000;Aquiraz - CE;2022;2022;706;Número de unidades locais;Unidades;2427
N6;Município;2301109;Aracati - CE;2022;2022;706;Número de unidades locais;Unidades;2249
N6;Município;2301208;Aracoiaba - CE;2022;2022;706;Número de unidades locais;Unidades;464
N6;Município;2301257;Ararendá - CE;2022;2022;706;Número de unidades locais;Unidades;222
N6;Município;2301307;Araripe - CE;2022;2022;706;Número de unidades locais;Unidades;330
N6;Município;2301406;Aratuba - CE;2022;2022;706;Número de unidades locais;Unidades;187
N6;Município;2301505;Arneiroz - CE;2022;2022;706;Número de unidades locais;Unidades;133
N6;Município;2301604;Assaré - CE;2022;2022;706;Número de unidades locais;Unidades;388
N6;Município;2301703;Aurora - CE;2022;2022;706;Número de unidades locais;Unidades;401
N6;Município;2301802;Baixio - CE;2022;2022;706;Número de unidades locais;Unidades;115
